82,30-MAY-2020,DHC-6 Twin Otter 100,N52FW,"Kapowsin Air Sports, opf Skydive San Diego",0,San Diego-Br...,,,A2
83,08-JUN-2020,Lockheed C-130H3 Hercules,94-6706,USAF,0,Al Taji Army...,,,A1
84,13-JUN-2020,Beech 300 Super King Air 350,N858UP,Gama Aviation Signature,0,Bedford-Hans...,,,A2
85,14-JUN-2020,Airbus A320-271N,VP-BWC,S7 Airlines,0,Saint Peters...,,,A2
86,14-JUN-2020,Airbus A320-232,VP-BDL,Ural Airlines,0,Saint Peters...,,,A2
87,15-JUN-2020,Grumman G-1159 Gulfstream II,N27SL,private,1,Machiques de...,,,C1
88,16-JUN-2020,DHC-8-402Q Dash 8,G-JECK,Nordic Aviation Capital,0,Aberdeen-Dyc...,,,A2
89,19-JUN-2020,Gulfstream American G-1159A Gulfstr,N516TR,private,0,"El Chico, Re...",,,C1
90,02-JUL-2020,Grumman G-1159 Gulfstream II SP,XB-NRX,private,0,Mapastepec,,,C1
91,05-JUL-2020,BAe-125-700A,XB-RCM,private,0,near José Maria M...,,,C1
92,07-JUL-2020,Hawker 800XP,N339AV,private,0,within Venez...,,,C1
93,13-JUL-2020,Antonov An-2R,RA-40851,Zeus-Avia,2,"near Kistenevo, B...",,,A1
94,13-JUL-2020,BN-2A-27 Islander,N200MU,Tropic Air Charters,0,Fort Lauderd...,,,A2
95,14-JUL-2020,DHC-8-402Q (PF) Dash 8,5Y-VVU,Blue Bird Aviation,0,Beledweyne-U...,,,A1
96,15-JUL-2020,Beech B300 King Air 350i,EM-809,Turkish Police,7,near Van-Ferit Me...,,,A1
97,17-JUL-2020,Beech 200 Super King Air,C-FSKQ,Skyjet Aviation,0,Rouyn Airpor...,,,A2
98,19-JUL-2020,Antonov An-2R,RA-71276,Phoenix,,Buryatia region,,,A1
99,20-JUL-2020,Beech B200 Super King Air,N740P,private,0,near Brus Laguna,,,C1
0,07-JAN-2019,Saab 340B,YL-RAF,RAF-AVIA,0,Savonlinna A...,,,A2
1,12-JAN-2019,Canadair Challenger 601,N813WT,TW 601-C Investment,0,Uvalde-Ox Ra...,,,A1
2,14-JAN-2019,Boeing 707-3J9C,EP-CPP,"Iran AF, op.for Saha Air",15,Fat'h Airport,,,A1
3,16-JAN-2019,Cessna 208B Grand Caravan,8R-YAC,ASL,0,Georgetown-O...,,,A2
4,21-JAN-2019,AMI DC-3-65TP,N467KS,Priority Air Charter,2,near Kidron-Stolt...,,,A1
5,21-JAN-2019,Boeing 737-330 (QC),9S-AHJ,Serve Air,0,Kinshasa-N'D...,,,A2
6,22-JAN-2019,Boeing 737-8LJ (WL),VP-BRR,Aeroflot,0,Khanty-Mansi...,,,H2
7,23-JAN-2019,DHC-8-102 Dash 8,C-GTCO,Air Creebec,0,Rouyn Airpor...,,,A2
8,26-JAN-2019,Airbus A321-231,TC-OEB,Onur Air,0,Antalya Airp...,,,O1
9,28-JAN-2019,ATR 72-212A (ATR 72-500),EC-LYJ,"Air Europa, opb Swiftair",0,Palma de Mal...,,,A2
10,28-JAN-2019,Boeing 727-2B6F Adv.,N720CK,Kalitta Charters,0,Tuscaloosa R...,,,A2
11,29-JAN-2019,Beech B200 King Air,N13LY,Guardian Flight,3,"near Kake, AK",,,A1
12,30-JAN-2019,Beech 200 Super King Air,C-GTUC,Air Tindi,2,near Whatì/Lac La...,,,A1
13,04-FEB-2019,Boeing 737-332,ST-TAL,"Tarco Air, opf Sudan Airways",0,Khartoum-Civ...,,,H2
14,08-FEB-2019,Convair C-131B Samaritan,N145GT,Conquest Air Cargo,1,near Bay Harbor I...,,,A1
15,08-FEB-2019,Airbus A321-251N,SE-RKA,Novair,0,Billund Airp...,,,A2
16,09-FEB-2019,Embraer ERJ 190AR (ERJ-190-100 IGW),5Y-KYR,Kenya Airways,0,Nairobi-Jomo...,,,O2
17,09-FEB-2019,Embraer ERJ 190AR (ERJ-190-100 IGW),5Y-FFF,Kenya Airways,0,Nairobi-Jomo...,,,O2
18,09-FEB-2019,Cessna 208 Caravan I,PR-RTA,RICO,0,"near Caracaraí, RR",,,A2
19,11-FEB-2019,Raytheon Beechjet 400A,N750TA,Stein's Aircraft Services,0,Richmond Mun...,,,A1
20,13-FEB-2019,Boeing 747-406M,PH-BFV,KLM,0,Amsterdam-Sc...,,,A2
21,13-FEB-2019,Boeing 787-9,PH-BHA,KLM,0,Amsterdam-Sc...,,,A2
22,23-FEB-2019,Boeing 767-375ER (BCF) (WL),N1217A,"Amazon Air, opb Atlas Air",3,"Trinity Bay,...",,,A1
23,24-FEB-2019,Boeing 737-8E9 (WL),S2-AHV,Biman Bangladesh,1,Chittagong-S...,,,H2
24,25-FEB-2019,EO-5C (DHC-7-102),N89068,US Army,0,Pyongtaek-De...,,,A1
25,26-FEB-2019,Gulfstream G200 Galaxy,4K-AZ88,Silk Way Business Aviation,0,Moskva-Shere...,,,A2
26,01-MAR-2019,Airbus A320-214,OE-LOA,LaudaMotion,0,London-Stans...,,,I2
27,03-MAR-2019,Beech 1900D,7T-VIO,Tassili Airlines,0,Ouargla-Ain ...,,,A2
28,03-MAR-2019,Honda HA-420 HondaJet,N105HJ,Banyan Jet Service,0,Eufaula-Weed...,,,O1
29,04-MAR-2019,Embraer EMB-145XR,N14171,"CommutAir, opf United Express",0,Presque Isle...,,,A2
30,04-MAR-2019,Cessna 208B Grand Caravan,C-FAFV,Amik Aviation,0,near Little Grand...,,,A2
31,07-MAR-2019,Learjet 35A,LV-BNR,Baires Fly,0,Buenos Aires...,,,A2
32,09-MAR-2019,Douglas DC-3,HK-2494,LASER,14,Finca La Ben...,,,A1
33,09-MAR-2019,Gulfstream G-IV,N505GF,Waffle House,0,Atlanta-DeKa...,,,A2
34,10-MAR-2019,Boeing 737 MAX 8,ET-AVJ,Ethiopian Airlines,157,near Addis Ababa-...,,,A1
35,10-MAR-2019,Hawker Siddeley HS-125-600A,fake reg.,private,1,near San Pedro Pe...,,,A1
36,10-MAR-2019,Bombardier CRJ-702ER,N530EA,"PSA Airlines, opf American Eagle",0,Charlotte-Do...,,,A2
37,10-MAR-2019,Bombardier CRJ-900LR,N569NN,"PSA Airlines, opf American Eagle",0,Charlotte-Do...,,,A2
38,11-MAR-2019,CC-138 Twin Otter (DHC-6),13803,RCAF,0,"near Inuvik, NT",,,A2
39,12-MAR-2019,Beech A100 King Air,N945WS,Golden Wings Aviation,0,Latrobe-West...,,,A2
40,14-MAR-2019,Cessna 650 Citation III,N220CM,RP Sales and Leasing,0,Orlando Sanf...,,,A2
41,18-MAR-2019,Bombardier Challenger 300,9M-TST,Berjaya Air,0+ 1,Kuala Lumpur...,,,A2
42,18-MAR-2019,IAI 1124 Westwind,N4MH,Sundance Airport FBO,2,Oklahoma Cit...,,,A1
43,19-MAR-2019,Fokker 100,EP-IDG,Iran Air,0,Tehran-Mehra...,,,A2
44,22-MAR-2019,Rockwell Sabreliner 60,N990PA,private,0,near Bajamar,,,A1
45,23-MAR-2019,Beech B200 Super King Air,A2-MBM,Major Blue Air,1,Matsieng Aer...,,,C1
46,23-MAR-2019,Airbus A320-232,HA-LPL,Wizz Air,0,Bristol Airp...,,,A2
47,27-MAR-2019,Antonov An-2,CU-A1825,ENSA,0,Alonso de Rojas,,,A2
48,27-MAR-2019,Boeing 737-7H4 (WL),N249WN,Southwest Airlines,0,near Nashville In...,,,A2
49,03-APR-2019,Airbus A320-214,G-EZWC,easyJet,0,Belfast Inte...,,,A2
50,04-APR-2019,DHC-8-402Q Dash 8,OE-LGM,Austrian Airlines,0,Innsbruck-Kr...,,,A2
51,04-APR-2019,MD-88,N977DL,Delta Air Lines,0,Atlanta Hart...,,,A1
52,08-APR-2019,BAe 4100 Jetstream 41,HI1038,Sky High Aviation Services,0,Dominica Dou...,,,A2
53,10-APR-2019,Airbus A321-231 (WL),N114NN,American Airlines,0,New York-Joh...,,,A1
54,13-APR-2019,Rockwell Sabreliner 65,N265DS,Classic Aviation,3,"near New Albany, MS",,,A1
55,14-APR-2019,Let L-410UVP-E20,9N-AMH,Summit Air,1+ 2,Lukla-Tenzin...,,,A1
56,16-APR-2019,BN-2B-27 Islander,CC-CYR,Archipiélagos Servicios Aéreos,6,near Puerto Montt...,,,A1
57,16-APR-2019,Bombardier Global 5000,14+01,German AF,0,Berlin-Schön...,,,A1
58,22-APR-2019,Antonov An-26,EY-322,Asia Airways,0,near Khartoum,,,A1
59,23-APR-2019,Cessna 208 Caravan I,N366TA,Tropic Ocean Airways,0,Dry Tortugas...,,,A1
